Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01005592,Rochdale 009E,2395.1
E01005593,Rochdale 004D,6357.5
E01005594,Rochdale 002B,355.8
E01005595,Rochdale 004E,6003.6
E01005596,Rochdale 003D,1587
E01005597,Rochdale 002C,278.1
E01005598,Rochdale 002D,3461.5
E01005599,Salford 026A,4003.8
E01005600,Salford 026B,6671
E01005601,Salford 026C,8743.7
E01005602,Salford 026D,7636.9
E01005603,Salford 027A,7668.5
E01005604,Salford 027B,4040.6
E01005605,Salford 027C,1542.3
E01005610,Salford 034C,4380
E01005611,Salford 032C,5996.2
E01005612,Salford 031B,8453.2
E01005613,Salford 031A,9208.2
E01005614,Salford 031C,18890.9
E01005615,Salford 032D,10528.2
E01005616,Salford 030A,3694.4
E01005617,Salford 030B,1036
E01005618,Salford 030C,1372
E01005619,Salford 030D,2439.1
E01005620,Salford 030E,2729
E01005621,Salford 030F,200.7
E01005622,Salford 018A,9797.3
E01005623,Salford 018B,5552.6
E01005624,Salford 017A,6352.7
E01005625,Salford 015A,5046
E01005626,Salford 018C,3624.6
E01005627,Salford 015B,6766.7
E01005628,Salford 018D,5811.8
E01005629,Salford 021A,5683.1
E01005630,Salford 021B,6723.8
E01005631,Salford 020A,5658.4
E01005632,Salford 020B,4442.4
E01005633,Salford 020C,4282.9
E01005634,Salford 020D,5261.6
E01005635,Salford 020E,4317.1
E01005636,Salford 020F,3554.4
E01005637,Salford 020G,4463.9
E01005638,Salford 027D,7832.1
E01005639,Salford 029A,7427.7
E01005640,Salford 029B,578.9
E01005641,Salford 029C,5638.2
E01005642,Salford 029D,3786.8
E01005643,Salford 029E,288.2
E01005644,Salford 029F,4504.2
E01005645,Salford 029G,2863.4
E01005646,Salford 010A,9099.7
E01005647,Salford 011A,5466.1
E01005648,Salford 011B,2980.5
E01005649,Salford 010B,4683.3
E01005650,Salford 010C,4562.7
E01005651,Salford 010D,10044.1
E01005652,Salford 011C,5789.3
E01005653,Salford 011D,2198.1
E01005654,Salford 023A,10790.3
E01005656,Salford 023B,11450.7
E01005657,Salford 023C,10303
E01005659,Salford 001A,2638.4
E01005660,Salford 001B,5612.7
E01005661,Salford 004A,2729.1
E01005662,Salford 004B,1848.5
E01005663,Salford 001C,3766.4
E01005664,Salford 001D,4859.2
E01005665,Salford 001E,5503.5
E01005667,Salford 035C,6083.5
E01005670,Salford 005A,4378.9
E01005671,Salford 012A,3192.7
E01005672,Salford 005B,5383.3
E01005673,Salford 008A,1579.7
E01005674,Salford 012B,4924.9
E01005676,Salford 005C,1873.4
E01005677,Salford 005D,1261.3
E01005678,Salford 008C,1688.7
E01005679,Salford 008D,4102.7
E01005680,Salford 017B,1850.2
E01005681,Salford 024C,6781
E01005682,Salford 024D,10394
E01005683,Salford 017C,3707.1
E01005686,Salford 006A,4616.6
E01005687,Salford 009A,1895.8
E01005688,Salford 006B,5139.3
E01005689,Salford 009B,4913.7
E01005690,Salford 009C,4530.5
E01005691,Salford 006C,2031.9
E01005692,Salford 006D,4002.9
E01005693,Salford 009D,4163.3
E01005694,Salford 012C,1984.9
E01005695,Salford 014A,1573.3
E01005696,Salford 012D,4315.4
E01005697,Salford 014B,4894.5
E01005698,Salford 012E,6198.9
E01005699,Salford 015C,7745.6
E01005700,Salford 012F,5111.3
E01005701,Salford 015D,4618.1
E01005702,Salford 003A,3666.8
E01005703,Salford 002A,5319.9
E01005704,Salford 002B,5861.3
E01005706,Salford 002C,5613.6
E01005707,Salford 003C,2805.2
E01005708,Salford 002D,3813.2
E01005709,Salford 004C,6401
E01005710,Salford 004D,2839.2
E01005711,Salford 007A,1843.9
E01005712,Salford 007B,6145.1
E01005713,Salford 007C,4085.9
E01005714,Salford 007D,2178.7
E01005715,Salford 007E,3435.7
E01005716,Salford 013A,3526.2
E01005717,Salford 013B,4074.9
E01005718,Salford 007F,4477.1
E01005719,Salford 021C,2899.8
E01005721,Salford 023D,3812.3
E01005722,Salford 021E,5486
E01005723,Salford 021F,2589.6
E01005724,Salford 021G,4539
E01005725,Salford 019A,7181.5
E01005726,Salford 019B,3250.9
E01005727,Salford 019C,7744
E01005728,Salford 019D,6079.4
E01005729,Salford 025A,8091.7
E01005730,Salford 025B,3865.6
E01005731,Salford 025C,4333.5
E01005732,Salford 025D,603.9
E01005733,Salford 019E,3564.7
E01005734,Salford 013C,3958.1
E01005735,Salford 013D,5805.8
E01005736,Salford 013E,5187.7
E01005737,Salford 013F,172.2
E01005738,Salford 014C,596.6
E01005739,Salford 013G,2965
E01005740,Salford 014D,2476.4
E01005741,Salford 014E,2096.4
E01005742,Salford 014F,4242.8
E01005743,Stockport 009A,2959.3
E01005744,Stockport 009B,593.7
E01005745,Stockport 005A,1706.4
E01005746,Stockport 005B,5043.4
E01005747,Stockport 005C,4233.6
E01005748,Stockport 005D,3301.3
E01005749,Stockport 009C,5237.2
E01005750,Stockport 009D,2292
E01005751,Stockport 009E,6037.1
E01005752,Stockport 012A,4612.6
E01005753,Stockport 004A,6104.8
E01005754,Stockport 004B,4474.4
E01005755,Stockport 004C,2876.8
E01005756,Stockport 004D,3866
E01005757,Stockport 014A,1718.1
E01005759,Stockport 023A,5285.2
E01005760,Stockport 023B,8659.8
E01005761,Stockport 026A,3696.2
E01005762,Stockport 026B,4013.4
E01005763,Stockport 026C,5687.6
E01005764,Stockport 016A,5458.6
E01005765,Stockport 018A,5794.1
E01005766,Stockport 014C,5941.9
E01005767,Stockport 028A,2268.4
E01005768,Stockport 025A,2457.2
E01005769,Stockport 022A,1142.4
E01005770,Stockport 025B,4662.1
E01005771,Stockport 025C,3628.3
E01005772,Stockport 028B,3517.9
E01005773,Stockport 028C,3044.7
E01005774,Stockport 028D,2475.2
E01005775,Stockport 025D,3804.8
E01005776,Stockport 028E,3700.7
E01005777,Stockport 034A,2865
E01005778,Stockport 022B,4312.4
E01005779,Stockport 022C,5462
E01005780,Stockport 022D,4989.9
E01005781,Stockport 022E,3594.5
E01005782,Stockport 030A,3222.3
E01005783,Stockport 030B,4625.5
E01005784,Stockport 030C,1396.9
E01005785,Stockport 030D,5417.7
E01005786,Stockport 030E,4097.6
E01005787,Stockport 034B,2862.4
E01005788,Stockport 034C,3466.2
E01005789,Stockport 039A,3910.6
E01005790,Stockport 034D,4017.8
E01005791,Stockport 039B,4244
E01005792,Stockport 041A,3900.6
E01005793,Stockport 039C,1628.4
E01005794,Stockport 041B,4527.3
E01005795,Stockport 039D,3396.4
E01005796,Stockport 039E,2997.6
E01005797,Stockport 023C,7497.3
E01005798,Stockport 027A,4237.4
E01005799,Stockport 026D,5624.2
E01005800,Stockport 023D,4620.9
E01005801,Stockport 027B,2838.1
E01005802,Stockport 027C,4681
E01005803,Stockport 027D,3395.9
E01005804,Stockport 023E,4671.6
E01005805,Stockport 035A,5380.9
E01005806,Stockport 033A,1607.3
E01005807,Stockport 035B,2312.4
E01005808,Stockport 037A,3605.1
E01005809,Stockport 037B,880.9
E01005810,Stockport 037C,2562
E01005811,Stockport 037D,3503.1
E01005812,Stockport 037E,1844
E01005813,Stockport 033B,2811.5
E01005814,Stockport 033C,3251.4
E01005815,Stockport 033D,4256.1
E01005816,Stockport 016B,12826.6
E01005817,Stockport 016C,5280.9
E01005818,Stockport 018B,5420.1
E01005819,Stockport 018C,2657
E01005820,Stockport 018D,6817.6
E01005821,Stockport 018E,3193.1
E01005822,Stockport 016D,3880.1
E01005823,Stockport 018F,6992.4
E01005824,Stockport 024A,6262.5
E01005825,Stockport 019A,5346.1
E01005826,Stockport 024B,6116.2
E01005827,Stockport 024C,5402.4
E01005828,Stockport 024D,6324.3
E01005829,Stockport 024E,2361.3
E01005830,Stockport 027E,5096
E01005831,Stockport 027F,6373.5
E01005832,Stockport 021A,2493.4
E01005833,Stockport 021B,2670.1
E01005834,Stockport 031A,4934.4
E01005835,Stockport 021C,843.5
E01005836,Stockport 031B,3134.4
E01005837,Stockport 021D,3493
E01005838,Stockport 031C,5056.8
E01005839,Stockport 035C,3520.8
E01005840,Stockport 031D,3079.1
E01005841,Stockport 035D,3008.7
E01005842,Stockport 038A,458.2
E01005843,Stockport 021E,4451.9
E01005844,Stockport 036A,1861.7
E01005845,Stockport 036B,4493
E01005846,Stockport 040A,4408.4
E01005847,Stockport 040B,7389.9
E01005848,Stockport 040C,1779.9
E01005849,Stockport 036C,2770.6
E01005850,Stockport 040D,2744.7
E01005851,Stockport 036D,3030.6
E01005852,Stockport 013A,2201.2
E01005853,Stockport 011A,3679.7
E01005854,Stockport 013B,7137
E01005855,Stockport 013C,4412.4
E01005856,Stockport 011B,2874.6
E01005857,Stockport 013D,3722.5
E01005858,Stockport 013E,3960.9
E01005859,Stockport 008A,6011.9
E01005860,Stockport 011C,4968.9
E01005861,Stockport 011D,3192
E01005862,Stockport 003A,6004.9
E01005863,Stockport 006A,4959.6
E01005864,Stockport 006B,5491.3
E01005865,Stockport 008B,2395.4
E01005866,Stockport 006C,5785.1
E01005867,Stockport 008C,4338.4
E01005868,Stockport 008D,3250.7
E01005869,Stockport 006D,3187.9
E01005870,Stockport 015A,2007.3
E01005871,Stockport 015B,5611
E01005872,Stockport 019B,6125.8
E01005873,Stockport 015C,3821.5
E01005874,Stockport 019C,3844.6
E01005875,Stockport 015D,6385.9
E01005876,Stockport 019D,7071.9
E01005877,Stockport 019E,4426.9
E01005878,Stockport 020A,1935.8
E01005879,Stockport 020B,6026.5
E01005880,Stockport 017A,334.5
E01005881,Stockport 017B,1466.1
E01005882,Stockport 020C,1142.8
E01005883,Stockport 017C,1151.7
E01005884,Stockport 020D,1365
E01005885,Stockport 020E,3285.6
E01005886,Stockport 001A,8240.6
E01005887,Stockport 002A,5089.6
E01005888,Stockport 001B,8168.7
E01005889,Stockport 001C,5187.5
E01005890,Stockport 002B,4032.2
E01005891,Stockport 001D,4222
E01005892,Stockport 003B,1626.7
E01005893,Stockport 002C,8421.3
E01005894,Stockport 001E,8902
E01005895,Stockport 003C,2979.1
E01005896,Stockport 002D,6463.3
E01005897,Stockport 010A,1962.2
E01005898,Stockport 010B,384.8
E01005899,Stockport 012B,2057.2
E01005900,Stockport 010C,2666.7
E01005901,Stockport 012C,776.9
E01005902,Stockport 012D,2399.3
E01005903,Stockport 010D,1241.1
E01005904,Stockport 010E,4314.7
E01005905,Stockport 012E,7804.8
E01005906,Stockport 038B,1506.7
E01005907,Stockport 038C,1530.6
E01005908,Stockport 017D,164.6
E01005909,Stockport 029A,861.5
E01005910,Stockport 029B,4405
E01005911,Stockport 029C,3680.1
E01005912,Stockport 029D,431.8
E01005913,Stockport 038D,965.1
E01005914,Stockport 007A,3290.8
E01005915,Stockport 007B,2372.5
E01005916,Stockport 007C,4149.1
E01005917,Stockport 007D,3598.3
E01005918,Stockport 014D,4891
E01005919,Stockport 002E,3427.5
E01005920,Stockport 003D,5154.5
E01005921,Stockport 003E,4918.1
E01005922,Stockport 003F,5773.3
E01005923,Stockport 041C,2105.3
E01005924,Stockport 042A,3320.6
E01005925,Stockport 042B,2499.6
E01005926,Stockport 042C,389.3
E01005927,Stockport 032A,3301.3
E01005928,Stockport 032B,1722
E01005929,Stockport 032C,1630.1
E01005930,Stockport 032D,1707.2
E01005931,Stockport 041D,3766.5
E01005932,Stockport 042D,1949.7
E01005933,Tameside 006A,6231.2
E01005934,Tameside 006B,5276.6
E01005935,Tameside 006C,5376.1
E01005936,Tameside 004A,4186.7
E01005937,Tameside 004B,3184.1
E01005938,Tameside 002A,346.2
E01005939,Tameside 002B,4109.3
E01005940,Tameside 002C,2373.7
E01005941,Tameside 007A,6650.2
E01005942,Tameside 007B,5474.6
E01005943,Tameside 007C,3192.8
E01005944,Tameside 007D,3193.1
E01005945,Tameside 004C,7569.5
E01005946,Tameside 004D,7707.6
E01005947,Tameside 004E,12459.3
E01005948,Tameside 013A,2382.4
E01005949,Tameside 006D,5812.8
E01005950,Tameside 013B,2825.4
E01005951,Tameside 013C,1789.9
E01005953,Tameside 013E,9491.7
E01005954,Tameside 005A,3542
E01005955,Tameside 002D,4431.5
E01005956,Tameside 005B,1262.2
E01005957,Tameside 005C,6846.5
E01005958,Tameside 005D,6495.6
E01005959,Tameside 005E,5425.2
E01005960,Tameside 006E,8027.6
E01005961,Tameside 014A,1460.6
E01005962,Tameside 014B,4559.8
E01005963,Tameside 019A,3590
E01005964,Tameside 019B,5903.8
E01005965,Tameside 019C,2945.3
E01005966,Tameside 019D,5607.7
E01005967,Tameside 019E,5325.4
E01005968,Tameside 014C,3596.4
E01005969,Tameside 014D,4074.7
E01005970,Tameside 021A,3769
E01005971,Tameside 025A,3447
E01005972,Tameside 021B,6544.9
E01005973,Tameside 026A,2208.4
E01005974,Tameside 021C,3396.9
E01005975,Tameside 021D,5149.9
E01005976,Tameside 026B,6482.9
E01005977,Tameside 026C,6741.1
E01005978,Tameside 026D,4788.4
E01005979,Tameside 029A,3685.4
E01005980,Tameside 029B,5524.2
E01005981,Tameside 029C,5151.7
E01005982,Tameside 029D,2303.7
E01005983,Tameside 029E,2994.2
E01005984,Tameside 029F,3742.4
E01005985,Tameside 024A,1771.7
E01005986,Tameside 025B,4545.5
E01005987,Tameside 024B,3991.6
E01005988,Tameside 024C,6515.9
E01005989,Tameside 025C,642.2
E01005990,Tameside 024D,5293
E01005991,Tameside 024E,2232.5
E01005992,Tameside 025D,2363
E01005993,Tameside 010A,3543.3
E01005994,Tameside 011A,4019.7
E01005995,Tameside 010B,1429
E01005996,Tameside 010C,6152.9
E01005997,Tameside 010D,4996.7
E01005998,Tameside 012A,5070
E01005999,Tameside 011B,6368.1
E01006000,Tameside 010E,5658.6
E01006001,Tameside 012B,9778.6
E01006002,Tameside 011C,5753.9
E01006003,Tameside 012C,8537.9
E01006004,Tameside 011D,7042.5
E01006005,Tameside 011E,4725.4
E01006006,Tameside 012D,3678.1
E01006007,Tameside 011F,3374.7
E01006008,Tameside 017A,996
E01006009,Tameside 016A,2974.5
E01006010,Tameside 017B,6959.3
E01006011,Tameside 018A,5782
E01006012,Tameside 017C,6043.1
E01006013,Tameside 018B,4375.6
E01006014,Tameside 018C,5251.9
E01006015,Tameside 017D,6221.7
E01006016,Tameside 017E,3926.8
E01006017,Tameside 016B,2067.7
E01006018,Tameside 016C,4219.3
E01006019,Tameside 018D,5985.7
E01006020,Tameside 018E,2901.7
E01006021,Tameside 016D,6666.7
E01006022,Tameside 015A,3657
E01006023,Tameside 015B,2096.5
E01006024,Tameside 022A,761
E01006025,Tameside 027A,1400.4
E01006026,Tameside 022B,4743.7
E01006027,Tameside 027B,3632.6
E01006028,Tameside 028A,4546.9
E01006029,Tameside 028B,8707.8
E01006030,Tameside 028C,3910.9
E01006031,Tameside 020A,2762.1
E01006032,Tameside 020B,5597.1
E01006033,Tameside 020C,7850.8
E01006034,Tameside 020D,5050.9
E01006035,Tameside 020E,3208.8
E01006036,Tameside 020F,3900
E01006037,Tameside 022C,1742.7
E01006038,Tameside 022D,4296.9
E01006039,Tameside 028D,3629.3
E01006040,Tameside 028E,2866
E01006041,Tameside 028F,8019.6
E01006042,Tameside 030A,4239.3
E01006043,Tameside 030B,5259.9
E01006044,Tameside 030C,1438.6
E01006045,Tameside 030D,327.9
E01006046,Tameside 030E,6131.6
E01006047,Tameside 023A,2219.2
E01006048,Tameside 023B,1383.1
E01006049,Tameside 023C,446.6
E01006050,Tameside 027C,4174.6
E01006051,Tameside 023D,548.6
E01006052,Tameside 027D,1497.2
E01006053,Tameside 001A,1323.9
E01006054,Tameside 001B,1344.3
E01006055,Tameside 001C,2858.5
E01006056,Tameside 003A,350.8
E01006057,Tameside 001D,4329
E01006058,Tameside 001E,3956.5
E01006059,Tameside 001F,1651.4
E01006060,Tameside 008A,3674
E01006061,Tameside 003B,1445.6
E01006062,Tameside 003C,2688.2
E01006063,Tameside 003D,1085.2
E01006064,Tameside 008B,4314.6
E01006065,Tameside 008C,5777.6
E01006066,Tameside 008D,4262.5
E01006067,Tameside 009A,4805.2
E01006068,Tameside 009B,4949.2
E01006069,Tameside 009C,2661.4
E01006070,Tameside 015C,4744
E01006071,Tameside 015D,843.2
E01006072,Tameside 015E,1486.4
E01006073,Tameside 009D,149.5
E01006074,Trafford 025A,1447.7
E01006075,Trafford 025B,2865.9
E01006076,Trafford 025C,2641.1
E01006077,Trafford 027A,6218.8
E01006078,Trafford 024A,6905.3
E01006079,Trafford 025D,4081.1
E01006080,Trafford 024B,6379.3
E01006081,Trafford 027B,1014.6
E01006082,Trafford 027C,1696.1
E01006083,Trafford 026A,2601.7
E01006084,Trafford 026B,3831.9
E01006085,Trafford 027D,3687.2
E01006086,Trafford 027E,1568.8
E01006087,Trafford 025E,77.6
E01006088,Trafford 026C,7521.9
E01006089,Trafford 024C,4308
E01006090,Trafford 020A,5663.6
E01006091,Trafford 019A,4285.7
E01006092,Trafford 019B,2336.7
E01006093,Trafford 023A,6149.8
E01006094,Trafford 020B,6247.1
E01006095,Trafford 019C,1473.7
E01006096,Trafford 020C,4461.1
E01006097,Trafford 015A,4106.4
E01006098,Trafford 014A,5257.6
E01006099,Trafford 014B,4228.7
E01006100,Trafford 020D,5428.7
E01006101,Trafford 021A,3376.2
E01006102,Trafford 018A,5600.3
E01006103,Trafford 020E,6529.1
E01006104,Trafford 017A,3063.4
E01006105,Trafford 017B,2632.7
E01006106,Trafford 017C,2636.9
E01006107,Trafford 017D,159.7
E01006108,Trafford 017E,6356.7
E01006109,Trafford 001A,6020.9
E01006110,Trafford 001B,15377
E01006111,Trafford 001C,16048.8
E01006112,Trafford 001D,10534.7
E01006113,Trafford 004A,9579.9
E01006114,Trafford 004B,7388.6
E01006115,Trafford 004C,7918.6
E01006116,Trafford 002A,5207.8
E01006117,Trafford 002B,4917.7
E01006118,Trafford 002C,3904.9
E01006119,Trafford 002D,6318.4
E01006120,Trafford 010A,5629.9
E01006121,Trafford 002E,264.7
E01006122,Trafford 005A,2184.6
E01006123,Trafford 005B,1281.8
E01006124,Trafford 005C,2630.7
E01006125,Trafford 007A,2692
E01006126,Trafford 007B,4067.3
E01006127,Trafford 007C,1831.9
E01006128,Trafford 005D,6436.4
E01006129,Trafford 010B,2955.4
E01006130,Trafford 007D,6186.3
E01006131,Trafford 005E,2517.7
E01006132,Trafford 007E,1176.8
E01006133,Trafford 010C,2106.8
E01006134,Trafford 028A,1270.7
E01006135,Trafford 028B,1953.4
E01006136,Trafford 028C,1343.4
E01006137,Trafford 028D,1038.2
E01006138,Trafford 028E,804.9
E01006139,Trafford 026D,6222
E01006140,Trafford 026E,2654.9
E01006141,Trafford 003A,6060.9
E01006142,Trafford 011A,2657.2
E01006143,Trafford 011B,2970.6
E01006144,Trafford 011C,2096.2
E01006145,Trafford 004D,3072.7
E01006146,Trafford 004E,5112.8
E01006147,Trafford 012A,6675.9
E01006148,Trafford 016A,4798
E01006149,Trafford 012B,6613.6
E01006150,Trafford 012C,5747.2
E01006151,Trafford 016B,3725.3
E01006152,Trafford 016C,2910.2
E01006153,Trafford 016D,5134.8
E01006154,Trafford 012D,4251.6
E01006155,Trafford 006A,7098.2
E01006156,Trafford 008A,4724.8
E01006157,Trafford 006B,572.2
E01006158,Trafford 008B,1917.3
E01006159,Trafford 006C,6073.9
E01006160,Trafford 015B,5124.5
E01006161,Trafford 015C,4868
E01006162,Trafford 015D,5042
E01006163,Trafford 015E,7081.6
E01006164,Trafford 014C,1718.4
E01006165,Trafford 012E,2398.7
E01006166,Trafford 013A,5115.4
E01006167,Trafford 019D,5946.6
E01006168,Trafford 019E,5196.4
E01006169,Trafford 013B,5153.3
E01006170,Trafford 013C,1132.6
E01006171,Trafford 013D,6449.8
E01006172,Trafford 016E,4520.1
E01006173,Trafford 018B,7016.7
E01006174,Trafford 014D,6208.3
E01006175,Trafford 018C,6791.6
E01006176,Trafford 018D,1252.2
E01006177,Trafford 018E,7001.3
E01006178,Trafford 014E,4741.1
E01006179,Trafford 008C,2663.3
E01006180,Trafford 011D,5575.8
E01006181,Trafford 011E,7009.2
E01006182,Trafford 006D,6507.3
E01006183,Trafford 006E,7614.8
E01006184,Trafford 008D,1155.8
E01006186,Trafford 003B,2946
E01006187,Trafford 003C,3214.2
E01006188,Trafford 001F,3296.9
E01006189,Trafford 003D,7969.9
E01006190,Trafford 021B,4484.3
E01006191,Trafford 023B,4692.3
E01006192,Trafford 023C,1760.1
E01006193,Trafford 024D,5107.4
E01006194,Trafford 024E,4892.3
E01006195,Trafford 021C,6466.1
E01006196,Trafford 021D,6371.8
E01006197,Trafford 010D,5617.6
E01006198,Trafford 009A,4888.1
E01006199,Trafford 009B,6412.2
E01006200,Trafford 009C,890.7
E01006201,Trafford 009D,5939.3
E01006202,Trafford 009E,5958.7
E01006203,Trafford 010E,5170.8
E01006204,Trafford 022A,4281.2
E01006205,Trafford 023D,5285.5
E01006206,Trafford 022B,5978.9
E01006207,Trafford 022C,6452.6
E01006208,Trafford 022D,3527.4
E01006209,Trafford 023E,2173
E01006210,Trafford 021E,4449.7
E01006211,Trafford 022E,4085.6
E01006212,Wigan 026A,1323.2
E01006213,Wigan 024A,824.7
E01006214,Wigan 026B,759.5
E01006215,Wigan 024B,497.9
E01006216,Wigan 026C,2721.5
E01006217,Wigan 024C,3799.3
E01006218,Wigan 024D,5814
E01006219,Wigan 024E,4884.5
E01006220,Wigan 035A,531.9
E01006221,Wigan 035B,3752.7
E01006222,Wigan 035C,2391.6
E01006223,Wigan 036A,4309.8
E01006224,Wigan 035D,3777
E01006225,Wigan 036B,2674.4
E01006226,Wigan 035E,2953.6
E01006227,Wigan 038A,4727.9
E01006228,Wigan 038B,1984.9
E01006229,Wigan 002A,529.9
E01006230,Wigan 002B,2086.7
E01006231,Wigan 004A,240.6
E01006232,Wigan 004B,291.5
E01006233,Wigan 002C,1598.5
E01006234,Wigan 004C,1829.4
E01006235,Wigan 004D,2468.9
E01006236,Wigan 007A,349
E01006237,Wigan 002D,1473.8
E01006238,Wigan 002E,6009.6
E01006239,Wigan 017A,4865.6
E01006240,Wigan 017B,5638
E01006241,Wigan 017C,2353.9
E01006242,Wigan 023A,2423.4
E01006243,Wigan 023B,1779.7
E01006244,Wigan 023C,1724.5
E01006245,Wigan 023D,1325.1
E01006246,Wigan 034A,1937.6
E01006247,Wigan 034B,2668.1
E01006248,Wigan 031A,2066.7
E01006249,Wigan 031B,1348.9
E01006250,Wigan 029A,2895.4
E01006251,Wigan 029B,112.8
E01006252,Wigan 034C,5525.3
E01006253,Wigan 005A,4459.7
E01006254,Wigan 005B,1548.9
E01006255,Wigan 005C,5662.2
E01006256,Wigan 005D,4695.1
E01006257,Wigan 008A,8446.5
E01006258,Wigan 008B,5736.3
E01006259,Wigan 003A,1433.2
E01006260,Wigan 005E,3149.3
E01006261,Wigan 036C,5425
E01006262,Wigan 032A,699.8
E01006263,Wigan 032B,2737.5
E01006264,Wigan 036D,3463.8
E01006265,Wigan 036E,3852.1
E01006266,Wigan 032C,3354.5
E01006267,Wigan 032D,5997.8
E01006268,Wigan 032E,2778.3
E01006269,Wigan 013A,2753.4
E01006270,Wigan 016A,5226.2
E01006271,Wigan 013B,1867.2
E01006272,Wigan 013C,966.4
E01006273,Wigan 013D,2043
E01006274,Wigan 016B,7643.5
E01006275,Wigan 016C,5733
E01006276,Wigan 013E,3314.4
E01006277,Wigan 016D,2889.5
E01006278,Wigan 019A,2985.6
E01006279,Wigan 019B,4631.4
E01006280,Wigan 019C,3626.6
E01006281,Wigan 019D,3362.3
E01006282,Wigan 027A,2612
E01006283,Wigan 027B,2071.4
E01006284,Wigan 027C,5237.5
E01006285,Wigan 019E,2721.2
E01006286,Wigan 016E,3977.1
E01006287,Wigan 017D,5440.3
E01006288,Wigan 025A,1267.3
E01006289,Wigan 017E,5796.2
E01006290,Wigan 022A,2754.3
E01006291,Wigan 022B,5376.7
E01006292,Wigan 022C,2970.9
E01006293,Wigan 022D,1712.9
E01006294,Wigan 025B,6156.8
E01006295,Wigan 025C,4680.6
E01006296,Wigan 037A,3009.6
E01006297,Wigan 034D,1326.1
E01006298,Wigan 037B,6253.8
E01006299,Wigan 037C,1368.3
E01006300,Wigan 037D,3620.1
E01006301,Wigan 037E,1096.7
E01006302,Wigan 040A,1871.7
E01006303,Wigan 040B,657.7
E01006304,Wigan 040C,876.4
E01006305,Wigan 012A,5445.9
E01006306,Wigan 009A,6719.7
E01006307,Wigan 009B,3313.2
E01006308,Wigan 012B,1573.9
E01006309,Wigan 012C,3073.7
E01006310,Wigan 012D,632.2
E01006311,Wigan 012E,1788.5
E01006312,Wigan 003B,2675.3
E01006313,Wigan 003C,1645.6
E01006314,Wigan 003D,713
E01006315,Wigan 001A,587.2
E01006316,Wigan 001B,1490.2
E01006317,Wigan 001C,2625.3
E01006318,Wigan 003E,2065.8
E01006319,Wigan 001D,4106
E01006320,Wigan 003F,797.7
E01006321,Wigan 003G,3708.6
E01006322,Wigan 026D,880.3
E01006323,Wigan 033A,2283.4
E01006324,Wigan 033B,5127.1
E01006325,Wigan 033C,3552.9
E01006326,Wigan 033D,8142
E01006327,Wigan 033E,856.3
E01006328,Wigan 030A,5607.8
E01006329,Wigan 026E,834.3
E01006330,Wigan 031C,4188.5
E01006331,Wigan 031D,2542.7
E01006332,Wigan 031E,4878.9
E01006333,Wigan 030B,5314.5
E01006334,Wigan 030C,6607.3
E01006335,Wigan 034E,8393.6
E01006336,Wigan 027D,3170.6
E01006337,Wigan 027E,3585
E01006338,Wigan 030D,7984.7
E01006339,Wigan 039A,2633.2
E01006340,Wigan 039B,590.6
E01006341,Wigan 040D,3266.6
E01006342,Wigan 038C,3298.7
E01006343,Wigan 039C,4596.5
E01006344,Wigan 038D,5536.3
E01006345,Wigan 039D,5069.9
E01006346,Wigan 038E,2215.5
E01006347,Wigan 040E,4106
E01006348,Wigan 039E,556.5
E01006349,Wigan 015A,1525.7
E01006350,Wigan 010A,2764.5
E01006351,Wigan 010B,6994.5
E01006352,Wigan 015B,3613.4
E01006353,Wigan 014A,4914.1
E01006354,Wigan 014B,7247.1
E01006355,Wigan 014C,6686.3
E01006356,Wigan 011A,5305.2
E01006357,Wigan 010C,2662.6
E01006358,Wigan 014D,3546.1
E01006359,Wigan 014E,3886.5
E01006360,Wigan 010D,3416
E01006361,Wigan 010E,1330.5
E01006362,Wigan 018A,959
E01006363,Wigan 018B,3663.6
E01006364,Wigan 018C,1624.7
E01006365,Wigan 018D,4060.9
E01006366,Wigan 018E,1396.8
E01006367,Wigan 018F,3167.5
E01006368,Wigan 018G,373.4
E01006369,Wigan 008C,2957.2
E01006370,Wigan 006A,3838.8
E01006371,Wigan 008D,5565.6
E01006372,Wigan 006B,2023.9
E01006373,Wigan 006C,5365.9
E01006374,Wigan 006D,3884.8
E01006375,Wigan 008E,5135.8
E01006376,Wigan 028A,2717.5
E01006377,Wigan 025D,2204.4
E01006378,Wigan 025E,1438.8
E01006379,Wigan 029C,816.1
E01006380,Wigan 029D,2508.3
E01006381,Wigan 028B,2717
E01006382,Wigan 028C,5076.7
E01006383,Wigan 028D,5935.1
E01006384,Wigan 028E,5134.1
E01006385,Wigan 029E,4370.8
E01006386,Wigan 009C,6741.7
E01006387,Wigan 009D,6825.7
E01006388,Wigan 007B,4078.6
E01006389,Wigan 007C,4998.1
E01006390,Wigan 006E,3925.5
E01006391,Wigan 007D,2714.2
E01006392,Wigan 009E,5949.2
E01006393,Wigan 021A,4996.4
E01006394,Wigan 021B,2597.8
E01006395,Wigan 021C,1700.3
E01006396,Wigan 011B,601.2
E01006397,Wigan 011C,7312.1
E01006398,Wigan 011D,4548.3
E01006399,Wigan 011E,3024.5
E01006400,Wigan 021D,3503.7
E01006401,Wigan 021E,537.5
E01006402,Wigan 021F,4940.9
E01006403,Wigan 021G,3453
