Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01004946,Bury 021E,4335.1
E01004947,Bury 009A,7604.5
E01004948,Bury 009B,1968
E01004949,Bury 010A,3358.7
E01004950,Bury 010B,1090
E01004951,Bury 010C,5380.4
E01004952,Bury 010D,3842.4
E01004953,Bury 010E,3173.3
E01004954,Bury 007A,1125.4
E01004955,Bury 007B,3211.1
E01004956,Bury 007C,1174.2
E01004957,Bury 007D,2717.5
E01004958,Bury 008A,5937
E01004959,Bury 008B,7871.1
E01004960,Bury 007E,4386.7
E01004961,Bury 005A,3940.2
E01004962,Bury 009C,6786.8
E01004963,Bury 006A,2698.6
E01004964,Bury 009D,4626.5
E01004965,Bury 005B,1344.3
E01004966,Bury 005C,2798.6
E01004967,Bury 005D,3117.8
E01004968,Bury 006B,4945.1
E01004969,Bury 022A,578.2
E01004970,Bury 022B,2870.3
E01004971,Bury 022C,6006.5
E01004972,Bury 023A,7753
E01004973,Bury 023B,7321
E01004974,Bury 024A,4954.4
E01004975,Bury 023C,6890.5
E01004976,Bury 004A,4722.1
E01004977,Bury 004B,3896.9
E01004978,Bury 004C,5242.8
E01004979,Bury 008C,2672.2
E01004980,Bury 008D,7384.5
E01004981,Bury 004D,563.6
E01004982,Bury 004E,1112.5
E01004983,Bury 020A,3948.1
E01004984,Bury 019A,5552.5
E01004985,Bury 019B,393.4
E01004986,Bury 020B,1773.1
E01004987,Bury 020C,4770.6
E01004988,Bury 020D,3155.9
E01004989,Bury 019C,3755.3
E01004990,Bury 016A,5729.8
E01004991,Bury 015A,1968.9
E01004992,Bury 015B,1875.5
E01004993,Bury 015C,3689
E01004994,Bury 015D,2009.3
E01004995,Bury 018A,1445.2
E01004996,Bury 016B,6259.3
E01004997,Bury 014A,5575.5
E01004998,Bury 014B,3276.6
E01004999,Bury 014C,753.9
E01005000,Bury 012A,1293
E01005001,Bury 012B,5363
E01005002,Bury 014D,6151
E01005003,Bury 014E,9476.7
E01005004,Bury 016C,5364
E01005005,Bury 012C,405
E01005006,Bury 012D,1140.6
E01005007,Bury 019D,2545.1
E01005008,Bury 016D,4998.8
E01005009,Bury 016E,3526.4
E01005010,Bury 018B,632.4
E01005011,Bury 019E,2540.8
E01005012,Bury 018C,2401.5
E01005013,Bury 018D,5186.9
E01005014,Bury 001A,2445.3
E01005015,Bury 001B,745.5
E01005016,Bury 001C,3940.9
E01005017,Bury 001D,1550.7
E01005018,Bury 001E,3478.5
E01005019,Bury 002A,2954.2
E01005020,Bury 003A,2848.8
E01005021,Bury 001F,180.7
E01005022,Bury 003B,485.5
E01005023,Bury 002B,3258.5
E01005024,Bury 008E,3472.3
E01005025,Bury 011A,1984.6
E01005026,Bury 008F,9339.9
E01005027,Bury 011B,2709.9
E01005028,Bury 011C,7744.3
E01005029,Bury 011D,7959.1
E01005030,Bury 013A,4610.2
E01005031,Bury 025A,4070.6
E01005032,Bury 025B,1609.3
E01005033,Bury 024B,3507.1
E01005034,Bury 022D,2771.5
E01005035,Bury 025C,698.1
E01005036,Bury 024C,4795.5
E01005037,Bury 024D,5353.2
E01005038,Bury 025D,5397.8
E01005039,Bury 023D,5698.3
E01005040,Bury 026A,7254.8
E01005041,Bury 026B,5603.5
E01005042,Bury 026C,5877.7
E01005043,Bury 026D,8753.4
E01005044,Bury 026E,13638.9
E01005045,Bury 023E,5157.7
E01005046,Bury 002C,3062.3
E01005047,Bury 003C,225.1
E01005048,Bury 002D,2020.7
E01005049,Bury 003D,1180.3
E01005050,Bury 006C,3694.6
E01005051,Bury 003E,2411.8
E01005052,Bury 006D,6059.7
E01005053,Bury 006E,2107.4
E01005054,Bury 013B,459.2
E01005055,Bury 017B,3791.6
E01005056,Bury 017C,2994.4
E01005057,Bury 017D,2763
E01005058,Bury 017E,5045
E01005059,Bury 013C,2978.7
E01005060,Bury 013D,1885.4
E01005061,Manchester 018A,2077.9
E01005063,Manchester 018C,7444.6
E01005065,Manchester 018D,3295.4
E01005066,Manchester 018E,5493.5
E01005067,Manchester 020A,5230.7
E01005068,Manchester 051A,5224.1
E01005069,Manchester 047A,4106.6
E01005070,Manchester 051B,2289.6
E01005071,Manchester 048A,5366.5
E01005072,Manchester 048B,6194
E01005073,Manchester 048C,3672.9
E01005074,Manchester 051C,3562.3
E01005075,Manchester 051D,1898.8
E01005076,Manchester 039A,8331.3
E01005077,Manchester 042A,3933.8
E01005078,Manchester 042B,4237.4
E01005079,Manchester 042C,3745.2
E01005081,Manchester 039C,4345.3
E01005082,Manchester 037A,2322.2
E01005083,Manchester 039D,5037
E01005084,Manchester 042D,2309.5
E01005085,Manchester 049A,5698.2
E01005086,Manchester 049B,7703.8
E01005087,Manchester 050A,7783.8
E01005088,Manchester 050B,5465.1
E01005089,Manchester 049C,6762.8
E01005090,Manchester 050C,5758.7
E01005091,Manchester 050D,8702.5
E01005092,Manchester 015A,7513.5
E01005093,Manchester 012A,5924.7
E01005094,Manchester 012B,4126.2
E01005097,Manchester 012C,3742.1
E01005098,Manchester 001A,4860
E01005099,Manchester 001B,3027.9
E01005100,Manchester 001C,2038.4
E01005101,Manchester 002A,4570.1
E01005102,Manchester 001D,7569.1
E01005103,Manchester 001E,4085.6
E01005104,Manchester 004A,3715.9
E01005105,Manchester 015C,5247.6
E01005106,Manchester 015D,2268.7
E01005107,Manchester 015E,2812.3
E01005111,Manchester 047B,5626.2
E01005112,Manchester 048D,2250.2
E01005113,Manchester 047C,6593.1
E01005114,Manchester 047D,3277
E01005115,Manchester 044A,5493.5
E01005116,Manchester 047E,4849.1
E01005117,Manchester 048E,2472.3
E01005118,Manchester 034A,6690.9
E01005119,Manchester 041A,6011.8
E01005120,Manchester 034B,8505.6
E01005121,Manchester 041B,6449.9
E01005122,Manchester 041C,5542.7
E01005123,Manchester 041D,7937.4
E01005124,Manchester 041E,7793.1
E01005125,Manchester 040A,6870.4
E01005126,Manchester 045A,6887.9
E01005128,Manchester 055A,14827.8
E01005129,Manchester 061A,4279.7
E01005130,Manchester 054A,4207.6
E01005132,Manchester 061B,5373.4
E01005135,Manchester 002B,6414.6
E01005136,Manchester 002C,4337.8
E01005138,Manchester 002D,5413.7
E01005139,Manchester 003B,5530.2
E01005141,Manchester 003C,2923.6
E01005142,Manchester 058A,8373.5
E01005143,Manchester 056A,17133.9
E01005145,Manchester 008A,15681.5
E01005147,Manchester 058B,4978.5
E01005149,Manchester 008C,14979.4
E01005150,Manchester 029A,6914
E01005151,Manchester 029B,7756.2
E01005152,Manchester 029C,7622.1
E01005153,Manchester 037B,8801.4
E01005154,Manchester 033A,9363.5
E01005155,Manchester 037C,3813.8
E01005156,Manchester 033B,5502.2
E01005157,Manchester 037D,1715.9
E01005158,Manchester 033C,4370.2
E01005159,Manchester 029D,6544.7
E01005160,Manchester 004B,579.4
E01005161,Manchester 004C,6441.8
E01005162,Manchester 004D,6593.7
E01005163,Manchester 004E,7426.2
E01005164,Manchester 006A,3776
E01005165,Manchester 008D,6231.4
E01005166,Manchester 008E,7783.4
E01005167,Manchester 008F,5413.9
E01005168,Manchester 045B,4075.5
E01005169,Manchester 045C,1836.8
E01005170,Manchester 045D,2151.5
E01005171,Manchester 045E,3260.5
E01005172,Manchester 043A,4953.1
E01005173,Manchester 043B,1972.2
E01005174,Manchester 043C,7527.8
E01005175,Manchester 043D,6774.6
E01005176,Manchester 043E,6125.3
E01005177,Manchester 043F,7028
E01005178,Manchester 030A,9476.7
E01005179,Manchester 030B,7050.3
E01005180,Manchester 030C,3714.5
E01005181,Manchester 030D,5475.8
E01005182,Manchester 030E,7963.6
E01005183,Manchester 030F,6292.1
E01005184,Manchester 032A,5463
E01005185,Manchester 032B,13943.5
E01005186,Manchester 020B,3938
E01005187,Manchester 021A,14776.3
E01005188,Manchester 021B,2837.5
E01005189,Manchester 017D,4503.7
E01005190,Manchester 017E,11051
E01005191,Manchester 021C,12567.6
E01005192,Manchester 021D,2645.4
E01005193,Manchester 021E,6103.4
E01005195,Manchester 023A,5677.5
E01005197,Manchester 023C,5898.2
E01005198,Manchester 023D,7241.3
E01005199,Manchester 064C,18389.5
E01005200,Manchester 064A,4596.3
E01005201,Manchester 023E,9308.5
E01005202,Manchester 009A,2922
E01005203,Manchester 009B,3146.3
E01005205,Manchester 006B,4728.3
E01005206,Manchester 006C,5570.4
E01005207,Manchester 006D,8020.7
E01005208,Manchester 019A,6079.2
E01005210,Manchester 019C,12175.7
E01005212,Manchester 057A,11248.2
E01005213,Manchester 059A,9352.3
E01005214,Manchester 019D,9979.1
E01005215,Manchester 034C,5881.5
E01005216,Manchester 034D,4805.2
E01005217,Manchester 034E,6451
E01005218,Manchester 034F,7563.8
E01005219,Manchester 031A,9259.9
E01005220,Manchester 031B,8578.9
E01005221,Manchester 031C,9685.6
E01005222,Manchester 031D,5121.9
E01005223,Manchester 007A,8271.1
E01005224,Manchester 007B,7349.1
E01005225,Manchester 007C,8071.7
E01005226,Manchester 007D,8964.4
E01005227,Manchester 009D,11324.3
E01005228,Manchester 009E,5712.1
E01005229,Manchester 007E,3775.8
E01005230,Manchester 022B,10417.9
E01005231,Manchester 022C,14680.4
E01005232,Manchester 020C,2165.7
E01005233,Manchester 063B,28431.8
E01005234,Manchester 063A,11524.7
E01005235,Manchester 020D,6593.7
E01005236,Manchester 022D,16144
E01005237,Manchester 022E,12605.2
E01005238,Manchester 063D,11080
E01005239,Manchester 020E,6720.1
E01005243,Manchester 024B,9372.2
E01005244,Manchester 025C,15836
E01005245,Manchester 024C,8950.6
E01005246,Manchester 024D,17983
E01005247,Manchester 005A,5918.4
E01005248,Manchester 005B,3804.8
E01005249,Manchester 005C,3012.3
E01005250,Manchester 005D,6983.4
E01005251,Manchester 003D,5597.1
E01005252,Manchester 003E,7246.4
E01005253,Manchester 005E,6250
E01005254,Manchester 005F,6609.1
E01005255,Manchester 012D,5039.4
E01005256,Manchester 011A,3301.7
E01005257,Manchester 011B,1162.3
E01005258,Manchester 011C,6025.5
E01005259,Manchester 011D,7393.7
E01005260,Manchester 011E,4080
E01005261,Manchester 012E,7132.6
E01005262,Manchester 044B,6483.8
E01005263,Manchester 046A,1485.7
E01005264,Manchester 044C,3957.3
E01005265,Manchester 044D,5762.6
E01005266,Manchester 044E,6371
E01005267,Manchester 046B,1294.6
E01005268,Manchester 046C,2654.8
E01005269,Manchester 046D,2578.6
E01005270,Manchester 035A,8173.8
E01005271,Manchester 032C,10852.9
E01005272,Manchester 035B,4113.8
E01005273,Manchester 035C,11457
E01005274,Manchester 038A,6912.8
E01005275,Manchester 038B,11780.3
E01005276,Manchester 038C,7267.8
E01005277,Manchester 038D,5938.4
E01005278,Manchester 035D,7981.1
E01005279,Manchester 035E,3507.2
E01005280,Manchester 026A,7596
E01005281,Manchester 026B,5650.3
E01005284,Manchester 026C,8759.3
E01005285,Manchester 025D,13252.8
E01005286,Manchester 026D,7964
E01005287,Manchester 026E,10951.9
E01005288,Manchester 025E,9795.8
E01005289,Manchester 049D,7463.8
E01005290,Manchester 052A,5047.8
E01005291,Manchester 050E,3637.9
E01005292,Manchester 052B,4954.5
E01005293,Manchester 052C,4772.4
E01005294,Manchester 052D,3699.4
E01005295,Manchester 049E,2931.2
E01005296,Manchester 029E,6980
E01005297,Manchester 028A,7451.8
E01005298,Manchester 028B,10005.5
E01005299,Manchester 029F,6702
E01005300,Manchester 033D,5652.2
E01005301,Manchester 033E,5725.9
E01005302,Manchester 028C,7875.3
E01005304,Manchester 040B,9324.1
E01005305,Manchester 036A,5205.7
E01005306,Manchester 040C,4757.6
E01005307,Manchester 040D,6621.4
E01005308,Manchester 040E,5055.4
E01005309,Manchester 036B,10604.2
E01005310,Manchester 036C,12779.9
E01005311,Manchester 036D,8694.6
E01005312,Manchester 036E,16219.3
E01005313,Manchester 053A,5345.8
E01005314,Manchester 053B,5709
E01005315,Manchester 053C,4741.5
E01005316,Manchester 053D,238.9
E01005317,Manchester 052E,1028.7
E01005318,Manchester 053E,3207.6
E01005319,Manchester 051E,4975.4
E01005320,Oldham 024A,12075.1
E01005321,Oldham 022A,3043.4
E01005322,Oldham 029A,7051.4
E01005323,Oldham 029B,5629.3
E01005324,Oldham 029C,3097.5
E01005325,Oldham 029D,4435.6
E01005326,Oldham 022B,13427.4
E01005327,Oldham 017A,4213.2
E01005328,Oldham 017B,3603.8
E01005329,Oldham 015A,4906.7
E01005330,Oldham 015B,672.8
E01005331,Oldham 017C,7578
E01005332,Oldham 028A,3977.1
E01005333,Oldham 015C,5117.7
E01005334,Oldham 017D,4819.1
E01005335,Oldham 010A,3702.6
E01005336,Oldham 015D,4050.6
E01005337,Oldham 010B,10370.4
E01005338,Oldham 017E,4613.7
E01005339,Oldham 010C,880.6
E01005340,Oldham 010D,4791.9
E01005341,Oldham 028B,5536.8
E01005342,Oldham 027A,6197
E01005343,Oldham 027B,9915.9
E01005344,Oldham 027C,7249
E01005345,Oldham 028C,2362.8
E01005346,Oldham 028D,3629.3
E01005347,Oldham 028E,2264.2
E01005348,Oldham 014A,12470.4
E01005349,Oldham 016A,10195.3
E01005350,Oldham 014B,4835.3
E01005351,Oldham 016B,8492.9
E01005352,Oldham 016C,8456.9
E01005353,Oldham 016D,3958.7
E01005354,Oldham 016E,3429
E01005355,Oldham 005A,6368.4
E01005356,Oldham 005B,3700.9
E01005357,Oldham 001A,1051.2
E01005358,Oldham 001B,5982.4
E01005359,Oldham 001C,1352.5
E01005360,Oldham 001D,1463.7
E01005361,Oldham 003A,2816
E01005362,Oldham 031A,4584.5
E01005363,Oldham 032A,5832.8
E01005364,Oldham 031B,6510.5
E01005365,Oldham 033A,1337.3
E01005366,Oldham 033B,5106.7
E01005367,Oldham 033C,746.1
E01005368,Oldham 031C,5766.5
E01005369,Oldham 032B,3702
E01005370,Oldham 032C,3866.7
E01005371,Oldham 032D,4296.6
E01005372,Oldham 034A,6284.4
E01005373,Oldham 034B,6312.2
E01005374,Oldham 034C,7196.1
E01005375,Oldham 034D,3235.7
E01005376,Oldham 031D,3296.8
E01005377,Oldham 030A,7584.6
E01005378,Oldham 031E,3165.9
E01005379,Oldham 030B,7397.3
E01005380,Oldham 030C,2548
E01005381,Oldham 027D,6145.1
E01005382,Oldham 030D,5643.6
E01005383,Oldham 026A,4634.1
E01005386,Oldham 026D,752
E01005387,Oldham 018A,5687.3
